,date,open,high,low,close,volume,average,barCount,prev_day_score
1516,2024-02-13 08:30:00-06:00,4975.0,4982.0,4966.0,4968.0,232229.0,4973.6,60496,0.1051028437084621
1517,2024-02-13 09:00:00-06:00,4967.75,4982.75,4961.75,4975.25,287159.0,4973.175,69886,0.1051028437084621
1518,2024-02-13 10:00:00-06:00,4975.5,4988.25,4975.5,4980.5,164094.0,4983.325,39615,0.1051028437084621
1519,2024-02-13 11:00:00-06:00,4980.5,4983.0,4971.25,4972.75,129101.0,4977.85,31946,0.1051028437084621
1520,2024-02-13 12:00:00-06:00,4972.75,4974.5,4963.25,4965.5,122061.0,4969.35,29737,0.1051028437084621
1521,2024-02-13 13:00:00-06:00,4965.25,4965.5,4940.25,4943.0,234850.0,4951.625,51690,0.1051028437084621
1522,2024-02-13 14:00:00-06:00,4943.0,4972.5,4936.5,4971.75,390812.0,4955.425,69362,0.1051028437084621
1523,2024-02-13 15:00:00-06:00,4971.75,4974.25,4968.25,4973.25,75018.0,4970.825,12618,0.1051028437084621
1524,2024-02-14 08:30:00-06:00,4997.25,5002.25,4986.75,4998.0,159257.0,4994.975,43413,0.665503740310669
1525,2024-02-14 09:00:00-06:00,4998.0,5009.0,4988.5,4988.5,214926.0,4999.975,53786,0.665503740310669
1526,2024-02-14 10:00:00-06:00,4988.75,4992.25,4980.5,4982.25,199877.0,4986.5,49147,0.665503740310669
1527,2024-02-14 11:00:00-06:00,4982.5,4992.25,4972.75,4991.0,134763.0,4983.875,31608,0.665503740310669
1528,2024-02-14 12:00:00-06:00,4991.25,5000.5,4983.0,4995.0,123731.0,4991.925,30713,0.665503740310669
1529,2024-02-14 13:00:00-06:00,4995.0,5000.0,4981.25,4998.25,149273.0,4991.65,33727,0.665503740310669
1530,2024-02-14 14:00:00-06:00,4998.25,5020.25,4995.0,5015.25,257429.0,5010.05,44915,0.665503740310669
1531,2024-02-14 15:00:00-06:00,5015.0,5022.5,5013.0,5017.5,74515.0,5017.9,11922,0.665503740310669
1532,2024-02-15 08:30:00-06:00,5019.0,5030.0,5018.5,5022.75,140161.0,5024.2,36351,0.2490989565849304
1533,2024-02-15 09:00:00-06:00,5022.75,5032.0,5019.25,5024.25,178019.0,5025.075,47809,0.2490989565849304
1534,2024-02-15 10:00:00-06:00,5024.5,5027.75,5013.75,5024.25,146448.0,5020.925,37140,0.2490989565849304
1535,2024-02-15 11:00:00-06:00,5024.25,5032.0,5022.75,5026.5,96758.0,5028.475,22329,0.2490989565849304
1536,2024-02-15 12:00:00-06:00,5026.5,5043.25,5025.5,5040.25,134038.0,5036.85,29348,0.2490989565849304
1537,2024-02-15 13:00:00-06:00,5040.25,5048.5,5036.25,5044.75,117019.0,5042.15,26810,0.2490989565849304
1538,2024-02-15 14:00:00-06:00,5045.0,5047.5,5038.0,5046.75,210406.0,5043.325,37883,0.2490989565849304
1539,2024-02-15 15:00:00-06:00,5046.75,5051.75,5045.5,5050.5,80390.0,5048.95,9434,0.2490989565849304
1540,2024-02-16 08:30:00-06:00,5043.0,5045.25,5018.5,5022.25,188392.0,5033.05,42620,-0.0416414260864257
